Name,cfc2020_10_01run002
Time,2020/10/01 01:28 PM
Notes,1um silica 
User,Cheong Fook Chiong
Sample,Beads
Sample notes,
Sample refractive index,1.34
Measured volume,2.00 μL
Viscosity,1-2 cP
Laser,0.447 μm (Blue)
Temperature,26.7 °C
Channel,2


,d [μm],d uncertainty [μm],n,n uncertainty,z [μm],z uncertainty [μm],v [μm / s],timestamp [s],symmetry
0,0.8179,0.0872,1.3719,0.0116,67.8346,2.0958,3061.7053,0.0400,Non-spherical
1,0.2611,0.0096,2.3487,0.0369,66.9081,0.3069,2878.9991,0.2049,Non-spherical
2,1.7545,0.0493,1.3801,0.0024,67.7572,0.2170,2718.5892,0.5496,Non-spherical
3,1.5420,0.0727,1.3440,0.0005,40.8697,0.8447,8.8175,0.6829,Non-spherical
4,1.7895,0.0396,1.3732,0.0024,65.1199,0.1540,3028.8112,0.8694,Spherical
5,1.1291,0.0503,1.4199,0.0097,92.7150,0.2617,2012.4019,1.0958,Spherical
6,1.7253,0.1477,1.3793,0.0254,91.3496,0.4669,2303.0829,1.1292,Spherical
7,1.5943,0.0839,1.6030,0.0383,68.3313,1.1908,3493.7793,1.1558,Spherical
8,0.5826,0.0676,1.4138,0.0143,60.8374,0.3182,2464.7616,1.4356,Non-spherical
9,0.9712,0.0363,1.4578,0.0078,84.0417,0.2181,2846.8389,1.5821,Spherical
10,1.5353,0.0303,1.4105,0.0068,72.5725,0.5122,2857.4621,1.9218,Non-spherical
11,0.9855,0.0292,1.4471,0.0073,84.4487,0.2381,3034.8123,2.0884,Spherical
12,1.1536,0.0180,1.4286,0.0028,93.1647,0.4143,1624.0375,2.3615,Spherical
13,1.5977,0.0322,1.3962,0.0043,74.5592,0.2424,3235.1348,2.3548,Spherical
14,2.9404,0.0910,1.3622,0.0029,51.7529,1.5784,2187.0753,2.4347,Non-spherical
15,1.8446,0.1195,1.3744,0.0114,54.3039,0.2978,1288.4888,2.5413,Spherical
16,1.0896,0.0215,1.4298,0.0044,97.0983,0.1643,865.4114,2.6546,Spherical
17,0.4010,0.0232,1.5645,0.0299,83.2279,0.2229,2836.7653,2.5946,Non-spherical
18,1.6550,0.1229,1.3885,0.0191,88.1231,0.1988,2028.8564,3.0009,Spherical
19,0.9789,0.0299,1.4687,0.0093,90.7621,0.1760,2308.6208,3.2740,Spherical
20,1.0760,0.0313,1.4322,0.0090,83.1854,0.2009,3117.4160,3.2740,Spherical
21,1.2762,0.1147,1.3452,0.0017,44.9316,0.8509,16.2829,3.5671,Non-spherical
22,1.0661,0.0412,1.4433,0.0128,92.8182,0.1889,1632.4510,3.9135,Spherical
23,2.2170,0.1100,1.3758,0.0073,78.8750,0.1979,3126.2890,4.3132,Non-spherical
24,2.8314,0.1249,1.3550,0.0024,61.7822,0.5442,2872.0865,4.3731,Non-spherical
25,1.9965,0.0836,1.3885,0.0062,63.7748,1.0961,2588.8083,4.4797,Non-spherical
26,1.0663,0.0380,1.4383,0.0098,79.5268,0.1888,3114.5925,4.4997,Spherical
27,2.5702,0.2618,1.3595,0.0165,48.7715,0.5980,904.4154,4.5930,Non-spherical
28,1.7196,0.1256,1.3898,0.0148,60.5204,0.2907,1996.1800,5.1458,Spherical
29,0.5436,0.1598,1.3858,0.0527,57.9143,3.0586,1769.3001,5.3989,Non-spherical
30,1.5776,0.0799,1.3901,0.0079,90.7300,0.3236,1914.7214,5.6854,Non-spherical
31,1.0986,0.0204,1.4305,0.0028,70.5087,0.1714,2879.8299,5.7253,Spherical
32,1.0537,0.0263,1.4281,0.0046,59.2635,0.1357,1898.8828,5.7920,Spherical
33,1.7139,0.0900,1.3829,0.0058,85.6674,0.2024,2344.7191,5.8652,Non-spherical
34,0.8642,0.0735,1.3901,0.0168,66.6226,0.2580,2443.0890,6.1850,Spherical
35,0.5380,0.1358,1.4131,0.0327,85.3469,8.4701,1885.8522,6.6279,Non-spherical
36,0.5028,0.1736,1.4820,0.0487,95.8818,2.2467,1862.5159,6.6646,Non-spherical
37,1.1105,0.0302,1.5033,0.0010,75.4675,0.2120,4281.3479,6.6879,Spherical
38,1.5311,0.0734,1.4452,0.0228,78.8408,0.3316,4133.7433,6.6912,Spherical
39,0.9981,0.0504,1.4428,0.0140,81.1874,0.3230,4012.0359,6.7412,Spherical
40,1.8102,0.0424,1.3745,0.0024,85.9496,0.2387,3116.5362,6.8577,Spherical
41,1.0539,0.0378,1.4425,0.0092,61.7451,0.2025,2949.6293,6.8910,Spherical
42,1.5564,0.1284,1.4042,0.0140,79.5123,0.4079,3698.5277,6.8977,Non-spherical
43,0.6559,0.0183,1.5235,0.0119,62.3057,0.1894,2625.0246,7.1442,Spherical
44,1.8036,0.0347,1.3736,0.0015,77.7509,0.1805,3066.1369,7.3773,Spherical
45,1.9083,0.0450,1.3703,0.0027,56.2826,0.3853,1969.1490,7.6171,Non-spherical
46,0.5527,0.0891,1.4541,0.0244,68.8410,0.2079,3131.9009,7.8103,Non-spherical
47,0.5869,0.0377,1.5049,0.0253,85.7821,0.3049,2684.2598,7.9302,Non-spherical
48,1.0834,0.0189,1.4254,0.0075,84.3220,0.1271,2606.7144,7.9768,Spherical
49,0.1931,0.0040,3.0000,0.1254,65.1918,0.3663,2657.4746,7.9968,Non-spherical
50,1.0602,0.0302,1.4314,0.0076,86.1805,0.3130,2501.1242,8.0168,Spherical
51,1.8755,0.0290,1.3730,0.0023,78.1219,0.2533,2958.9324,8.0834,Non-spherical
52,1.6655,0.0527,1.3745,0.0039,64.7281,0.1252,2709.4817,8.1300,Non-spherical
53,1.1000,0.0527,1.4232,0.0116,89.3609,0.1800,2054.3515,8.1833,Spherical
54,1.4056,0.3684,1.3482,0.3693,44.2307,1.7496,21.9333,8.2299,Non-spherical
55,2.7648,0.0539,1.3690,0.0018,70.2777,0.3668,2903.8113,8.2499,Non-spherical
56,1.1126,0.0385,1.4148,0.0096,87.6363,0.1968,2773.8407,8.5030,Spherical
57,2.1570,0.0996,1.3643,0.0038,48.7516,0.4647,400.7166,8.6429,Non-spherical
58,2.2677,0.0661,1.3643,0.0017,84.1397,0.5223,2674.6077,8.9427,Non-spherical
59,1.0954,0.0330,1.4282,0.0049,70.4027,0.2343,2746.1536,9.2957,Spherical
60,0.9630,0.0356,1.4506,0.0137,79.0803,0.1979,2842.1016,9.3290,Spherical
61,1.0487,0.0472,1.4429,0.0076,68.7586,0.2369,2722.1231,9.3357,Spherical
62,1.0958,0.0451,1.4249,0.0070,69.3894,0.1396,2689.8249,9.3823,Spherical
63,1.0361,0.0584,1.4343,0.0113,80.2266,0.1508,2489.6468,9.4889,Spherical
