,Unnamed: 0,d_p,dd_p,n_p,dn_p,z_p,z uncertainty [μm],v [μm / s],timestamp [s],symmetry,label
0,0,0.8179,0.0872,1.3719,0.0116,67.8346,2.0958,3061.7053,0.04,1,extra
2,2,1.7545,0.0493,1.3801,0.0024,67.7572,0.217,2718.5892,0.5496,1,dimer
4,4,1.7895,0.0396,1.3732,0.0024,65.1199,0.154,3028.8112,0.8694,0,dimer
5,5,1.1291,0.0503,1.4199,0.0097,92.715,0.2617,2012.4019,1.0958,0,monomer
6,6,1.7253,0.1477,1.3793,0.0254,91.3496,0.4669,2303.0829,1.1292,0,dimer
9,9,0.9712,0.0363,1.4578,0.0078,84.0417,0.2181,2846.8389,1.5821,0,monomer
10,10,1.5353,0.0303,1.4105,0.0068,72.5725,0.5122,2857.4621,1.9218,1,dimer
11,11,0.9855,0.0292,1.4471,0.0073,84.4487,0.2381,3034.8123,2.0884,0,monomer
12,12,1.1536,0.018,1.4286,0.0028,93.1647,0.4143,1624.0375,2.3615,0,monomer
13,13,1.5977,0.0322,1.3962,0.0043,74.5592,0.2424,3235.1348,2.3548,0,dimer
15,15,1.8446,0.1195,1.3744,0.0114,54.3039,0.2978,1288.4888,2.5413,0,dimer
16,16,1.0896,0.0215,1.4298,0.0044,97.0983,0.1643,865.4114,2.6546,0,monomer
18,18,1.655,0.1229,1.3885,0.0191,88.1231,0.1988,2028.8564,3.0009,0,dimer
19,19,0.9789,0.0299,1.4687,0.0093,90.7621,0.176,2308.6208,3.274,0,monomer
20,20,1.076,0.0313,1.4322,0.009,83.1854,0.2009,3117.416,3.274,0,monomer
22,22,1.0661,0.0412,1.4433,0.0128,92.8182,0.1889,1632.451,3.9135,0,monomer
25,25,1.9965,0.0836,1.3885,0.0062,63.7748,1.0961,2588.8083,4.4797,1,dimer
26,26,1.0663,0.038,1.4383,0.0098,79.5268,0.1888,3114.5925,4.4997,0,monomer
28,28,1.7196,0.1256,1.3898,0.0148,60.5204,0.2907,1996.18,5.1458,0,dimer
30,30,1.5776,0.0799,1.3901,0.0079,90.73,0.3236,1914.7214,5.6854,1,dimer
31,31,1.0986,0.0204,1.4305,0.0028,70.5087,0.1714,2879.8299,5.7253,0,monomer
32,32,1.0537,0.0263,1.4281,0.0046,59.2635,0.1357,1898.8828,5.792,0,monomer
33,33,1.7139,0.09,1.3829,0.0058,85.6674,0.2024,2344.7191,5.8652,1,dimer
34,34,0.8642,0.0735,1.3901,0.0168,66.6226,0.258,2443.089,6.185,0,extra
38,38,1.5311,0.0734,1.4452,0.0228,78.8408,0.3316,4133.7433,6.6912,0,dimer
39,39,0.9981,0.0504,1.4428,0.014,81.1874,0.323,4012.0359,6.7412,0,monomer
40,40,1.8102,0.0424,1.3745,0.0024,85.9496,0.2387,3116.5362,6.8577,0,dimer
41,41,1.0539,0.0378,1.4425,0.0092,61.7451,0.2025,2949.6293,6.891,0,monomer
42,42,1.5564,0.1284,1.4042,0.014,79.5123,0.4079,3698.5277,6.8977,1,dimer
44,44,1.8036,0.0347,1.3736,0.0015,77.7509,0.1805,3066.1369,7.3773,0,dimer
45,45,1.9083,0.045,1.3703,0.0027,56.2826,0.3853,1969.149,7.6171,1,dimer
48,48,1.0834,0.0189,1.4254,0.0075,84.322,0.1271,2606.7144,7.9768,0,monomer
50,50,1.0602,0.0302,1.4314,0.0076,86.1805,0.313,2501.1242,8.0168,0,monomer
51,51,1.8755,0.029,1.373,0.0023,78.1219,0.2533,2958.9324,8.0834,1,dimer
52,52,1.6655,0.0527,1.3745,0.0039,64.7281,0.1252,2709.4817,8.13,1,dimer
53,53,1.1,0.0527,1.4232,0.0116,89.3609,0.18,2054.3515,8.1833,0,monomer
56,56,1.1126,0.0385,1.4148,0.0096,87.6363,0.1968,2773.8407,8.503,0,monomer
59,59,1.0954,0.033,1.4282,0.0049,70.4027,0.2343,2746.1536,9.2957,0,monomer
